databank	nb_OTU	dataset	set_number	amplicon	abundance_law	method	Genus	Family	Order	Class	Phylum	OTU lost	OTU false
utax	200sp	dataset_5	set6	V3V4	powerlaw	mothur	2.76020963886	1.32994596058	1.14595900829	1.09100089423	0.644176067413	-8	1328
utax	200sp	dataset_5	set7	V3V4	powerlaw	mothur	2.82478847654	1.92937424668	1.70353851898	1.29931199512	0.974395234291	-8	1790
utax	200sp	dataset_5	set8	V3V4	powerlaw	mothur	2.37398910614	1.53759735	1.36239306642	1.26226708451	1.08878703585	-8	1740
utax	200sp	dataset_5	set9	V3V4	powerlaw	mothur	3.34572009825	1.6551318619	1.56289025289	1.49512513146	0.951379676235	-8	1609
utax	200sp	dataset_5	set10	V3V4	powerlaw	mothur	3.96143157588	3.09793438216	2.97291370287	2.89180414455	1.88545439509	-8	1694
utax	500sp	dataset_1	set1	V3V4	powerlaw	mothur	5.96709310399	3.11702284731	2.38952696947	2.12440324037	1.16025344469	-41	3295
utax	500sp	dataset_1	set2	V3V4	powerlaw	mothur	3.90267362159	2.26920808841	1.96707275457	1.73769591029	1.47415247395	-40	3343
utax	500sp	dataset_1	set3	V3V4	powerlaw	mothur	3.73381133269	2.08764513361	1.92790359178	1.74048023622	1.11252784632	-39	2856
utax	500sp	dataset_1	set4	V3V4	powerlaw	mothur	4.5292337252	1.53055614631	1.3050663911	1.03429377146	0.512205742652	-41	2406
utax	500sp	dataset_1	set5	V3V4	powerlaw	mothur	5.4294128201	1.90144192154	1.54600702353	1.42419233121	1.15982074459	-39	3989
utax	500sp	dataset_1	set6	V3V4	powerlaw	mothur	3.47170466888	1.44034865574	1.18627731983	0.9698568375	0.679734468773	-40	3349
utax	500sp	dataset_1	set7	V3V4	powerlaw	mothur	5.44738095647	1.49135244183	1.18480630093	1.05766398517	0.308827138324	-39	3099
utax	500sp	dataset_1	set8	V3V4	powerlaw	mothur	3.71235201057	1.98249249515	1.58192593819	1.42919340139	1.20488851385	-41	2870
