databank	nb_OTU	dataset	set_number	amplicon	abundance_law	method	Species	Genus	Family	Order	Class	Phylum	OTU lost	OTU false
silva	200sp	dataset_4	set1	V3V4	powerlaw	mothur	4.09877059576	1.86201356659	1.54072708323	1.35696232723	1.25550098734	0.698749617507	-17	1244
silva	200sp	dataset_4	set2	V3V4	powerlaw	mothur	4.24202899385	2.66120751914	2.09372405217	1.9608234482	1.84463937425	1.71261157592	-17	1761
silva	200sp	dataset_4	set3	V3V4	powerlaw	mothur	8.14046175448	3.54987456361	3.24964485619	3.113908037	3.02172313369	2.78580043147	-18	1426
silva	200sp	dataset_4	set4	V3V4	powerlaw	mothur	4.36097750509	1.43363845499	1.22073730274	1.1478693005	1.04021917394	0.744068875083	-16	1530
silva	200sp	dataset_4	set5	V3V4	powerlaw	mothur	3.81740945571	1.62453781422	1.20301289513	1.14720870645	0.987494147538	0.754128599057	-17	1531
silva	200sp	dataset_4	set6	V3V4	powerlaw	mothur	6.36372100876	4.54637306343	1.51596021667	1.31090951753	1.23972438476	0.852512422108	-18	1232
silva	200sp	dataset_4	set7	V3V4	powerlaw	mothur	4.14922208769	1.84297699173	1.44894945523	1.22188151982	1.06180206212	1.00393319106	-17	2356
silva	200sp	dataset_4	set8	V3V4	powerlaw	mothur	7.14414440776	4.68446997545	1.66496976437	1.47299470923	1.40454039629	1.21808898379	-17	1622
silva	200sp	dataset_4	set9	V3V4	powerlaw	mothur	4.18205254862	1.98322056464	1.18062504166	1.00511062229	0.941940948495	0.644698803453	-17	1818
silva	200sp	dataset_4	set10	V3V4	powerlaw	mothur	15.6435975564	12.8883246011	12.1997926137	12.1839250901	12.1824935997	12.1824935997	-17	1292
silva	200sp	dataset_5	set1	V3V4	powerlaw	mothur	9.86692882706	3.61242251038	1.72220090919	1.66934250552	1.51123558038	1.3268700726	-17	1657
silva	200sp	dataset_5	set2	V3V4	powerlaw	mothur	4.86470245843	1.88300425634	1.57158564875	1.46477874501	1.3827316646	1.17070492164	-17	1262
silva	200sp	dataset_5	set3	V3V4	powerlaw	mothur	4.32178306412	1.90013005418	1.49621984406	1.43656539675	1.33735900875	0.449883915354	-16	1129
silva	200sp	dataset_5	set4	V3V4	powerlaw	mothur	6.23249364099	3.77746447919	1.11478609468	0.98094651079	0.837561733861	0.46138710549	-17	1692
silva	200sp	dataset_5	set5	V3V4	powerlaw	mothur	5.31907309541	2.49164231562	1.92868707009	1.90389961309	1.80027112395	1.54139162939	-17	2087
silva	200sp	dataset_5	set6	V3V4	powerlaw	mothur	6.735813746	1.27304304282	0.943695886916	0.770645105271	0.651877244927	0.53813623831	-17	1666
silva	200sp	dataset_5	set7	V3V4	powerlaw	mothur	3.40386899893	1.59599092589	1.12289949462	1.01131075538	0.897749352458	0.770910226577	-17	1300
silva	200sp	dataset_5	set8	V3V4	powerlaw	mothur	6.94100620079	2.74802745214	1.8802911644	1.82146773769	1.73195221749	0.79636408899	-17	1818
silva	200sp	dataset_5	set9	V3V4	powerlaw	mothur	5.87631909489	2.00471196727	1.76949356048	1.70224054798	1.66766460302	1.19354614198	-17	1516
silva	200sp	dataset_5	set10	V3V4	powerlaw	mothur	5.89117748236	1.86691287664	1.52691299938	1.41054437125	1.26778603546	0.826743947322	-17	1909
silva	500sp	dataset_1	set1	V3V4	powerlaw	mothur	8.66776434683	4.41626499502	2.79864979684	1.58814014016	1.41280933512	1.08487467691	-79	3745
silva	500sp	dataset_1	set2	V3V4	powerlaw	mothur	10.6130441331	4.35691550469	1.55480685597	1.30049840557	1.03537725515	0.764767068643	-79	1982
silva	500sp	dataset_1	set3	V3V4	powerlaw	mothur	10.9981977037	3.2063812013	1.63881694115	1.38675204249	1.19909878778	0.771108087295	-80	3238
silva	500sp	dataset_1	set4	V3V4	powerlaw	mothur	12.0577503254	5.50029108124	2.03423242227	1.82055656339	1.62288389321	1.18218658304	-81	3526
silva	500sp	dataset_1	set5	V3V4	powerlaw	mothur	8.44829338514	2.96915571279	1.84816509893	1.59809259038	1.38614644134	0.690658028878	-80	4055
silva	500sp	dataset_1	set6	V3V4	powerlaw	mothur	6.36988614658	3.73681537626	1.48666781523	1.25620146388	1.05833273415	0.604902784458	-79	3084
silva	500sp	dataset_1	set7	V3V4	powerlaw	mothur	13.7170966093	7.34205717568	1.64729501589	1.39640477106	1.23118885844	0.821776381341	-79	3108
silva	500sp	dataset_1	set8	V3V4	powerlaw	mothur	10.4486148565	3.7509647528	2.43129390475	2.18255194293	1.95055134165	1.4065259839	-79	3796
silva	500sp	dataset_1	set9	V3V4	powerlaw	mothur	12.4107360495	2.85161800449	1.15389724844	0.988075614689	0.718871134617	0.467348300511	-79	2529
silva	500sp	dataset_1	set10	V3V4	powerlaw	mothur	9.7708212918	6.86937147791	1.47674511232	1.21303669232	1.04930729146	0.74369509958	-80	2827
silva	500sp	dataset_2	set1	V3V4	powerlaw	mothur	7.93556572874	2.33601048409	1.57842461713	1.32361673156	1.16390020874	0.808501544764	-71	2926
silva	500sp	dataset_2	set2	V3V4	powerlaw	mothur	6.07622106215	2.66429864435	1.92106094696	1.69048873679	1.50260480588	0.956229870599	-70	2632
silva	500sp	dataset_2	set3	V3V4	powerlaw	mothur	7.11863466709	4.30355862905	1.68365634354	1.50478747938	1.28033654818	1.02311386261	-71	3118
silva	500sp	dataset_2	set4	V3V4	powerlaw	mothur	6.23450903654	2.32138404753	1.58640496246	1.36117150014	1.22857185281	1.0948636302	-72	3484
silva	500sp	dataset_2	set5	V3V4	powerlaw	mothur	10.4939404739	4.03930479313	1.94342147457	1.73614489147	1.43250082751	0.599434984879	-69	3411
silva	500sp	dataset_2	set6	V3V4	powerlaw	mothur	9.96583696642	2.82646894938	2.40560651042	2.0713381705	1.77190632112	1.39726840242	-72	4111
silva	500sp	dataset_2	set7	V3V4	powerlaw	mothur	8.1682630434	3.09902399886	1.87069353383	1.7110259809	1.45984822853	0.8719523872	-69	4197
silva	500sp	dataset_2	set8	V3V4	powerlaw	mothur	8.47228619336	3.88412364255	1.95303507343	1.64511797839	1.37653180861	0.888872469738	-70	3628
silva	500sp	dataset_2	set9	V3V4	powerlaw	mothur	8.76680437215	4.42988252388	3.6431921519	3.36875820047	3.10595040177	2.03567660462	-69	2165
silva	500sp	dataset_2	set10	V3V4	powerlaw	mothur	9.46500150065	3.39754771095	2.31516007018	2.03469695633	1.76287025696	1.4731927855	-68	3972
silva	500sp	dataset_3	set1	V3V4	powerlaw	mothur	7.69258141676	2.64595328365	1.44378320925	1.2545042467	1.08679040717	0.615861714295	-64	3523
silva	500sp	dataset_3	set2	V3V4	powerlaw	mothur	6.99271280526	2.97795719377	2.26428918786	1.84557459101	1.22292871767	0.982106181316	-63	4205
silva	500sp	dataset_3	set3	V3V4	powerlaw	mothur	7.1424937919	2.50667912637	1.55594745804	1.27553913067	0.998082237505	0.848389192033	-67	3202
silva	500sp	dataset_3	set4	V3V4	powerlaw	mothur	9.75798441641	6.51934387807	1.98317006598	1.72513490927	1.51397365154	1.3673754346	-64	2625
